Номер Задачи,Деятельность,Направление,Количество_Пользователей
7416,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7415,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7411,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
7409,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7404,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7401,Разработка,HCM - Управление персоналом,1
7400,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7376,Настройка,ISU - Энергетика и коммунальное хозяйство,1
7375,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
7362,Разработка,ISU - Энергетика и коммунальное хозяйство,1
10949,Разработка,PP - Производственное планирование,1
7922,Документирование,ISU - Энергетика и коммунальное хозяйство,1
7923,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7924,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8618,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8873,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8859,Разработка,PP - Производственное планирование,1
8828,Разработка,FI - Финансы,1
8793,Разработка,FI-AA - Основные средства,1
8785,Разработка,MM - Управление материалами,1
8722,Разработка,FI-AA - Основные средства,1
8712,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8704,Разработка,FI-AA - Основные средства,1
8693,Разработка,FI-AA - Основные средства,1
8673,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8662,Документирование,PP - Производственное планирование,1
8660,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8646,Разработка,PP - Производственное планирование,1
8636,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8582,Разработка,ISU - Энергетика и коммунальное хозяйство,1
9039,Разработка,RE - Недвижимость,1
8570,Документирование,FI - Финансы,1
8568,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8534,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8533,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8499,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8495,Документирование,FI - Финансы,1
8484,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8472,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8466,Разработка,PP - Производственное планирование,1
8459,Документирование,PP - Производственное планирование,1
8455,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8448,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8441,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8440,Документирование,FI - Финансы,1
8981,Разработка,PP - Производственное планирование,1
9041,Разработка,FI-AA - Основные средства,1
7926,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
10102,Разработка,MM - Управление материалами,1
10750,Разработка,MM - Управление материалами,1
8321,Документирование,FI - Финансы,1
10695,Разработка,PP - Производственное планирование,1
10622,Разработка,MM - Управление материалами,1
10409,Разработка,PP - Производственное планирование,1
10409,Документирование,PP - Производственное планирование,1
10367,Разработка,FI - Финансы,1
10329,Разработка,ISU - Энергетика и коммунальное хозяйство,1
10306,Разработка,CRM - Управление взаимоотношениями с клиентами,1
10272,Разработка,FI - Финансы,1
10271,Разработка,FI - Финансы,1
10205,Разработка,CRM - Управление взаимоотношениями с клиентами,1
10205,Документирование,CRM - Управление взаимоотношениями с клиентами,1
10103,Разработка,MM - Управление материалами,1
10096,Разработка,MM - Управление материалами,1
9043,Разработка,RE - Недвижимость,1
9855,Разработка,ISU - Энергетика и коммунальное хозяйство,1
9762,Разработка,PP - Производственное планирование,1
9577,Документирование,MM - Управление материалами,1
9539,Разработка,RE - Недвижимость,1
9201,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
9140,Документирование,PP - Производственное планирование,1
9139,Документирование,PP - Производственное планирование,1
9112,Документирование,PP - Производственное планирование,1
9095,Разработка,ISU - Энергетика и коммунальное хозяйство,1
9084,Разработка,ISU - Энергетика и коммунальное хозяйство,1
9073,Документирование,PP - Производственное планирование,1
9059,Настройка,PM - Тех. обслуживание и ремонт оборудования,1
9057,Настройка,PM - Тех. обслуживание и ремонт оборудования,1
9053,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8407,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8396,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8354,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8030,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8075,Документирование,PP - Производственное планирование,1
8073,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8072,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8071,Документирование,ISU - Энергетика и коммунальное хозяйство,1
8067,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8063,Разработка,PP - Производственное планирование,1
8047,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8047,Документирование,ISU - Энергетика и коммунальное хозяйство,1
8044,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8038,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8035,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8034,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8033,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8032,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8028,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8337,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8001,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7998,Разработка,FI - Финансы,1
7990,Разработка,PP - Производственное планирование,1
7988,Документирование,RE - Недвижимость,1
7983,Разработка,PP - Производственное планирование,1
7977,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7961,Разработка,MM - Управление материалами,1
7951,Разработка,PP - Производственное планирование,1
7951,Документирование,PP - Производственное планирование,1
7950,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7942,Разработка,PP - Производственное планирование,1
7941,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7931,Разработка,ISU - Энергетика и коммунальное хозяйство,1
7928,Разработка,MM - Управление материалами,1
8078,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8080,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8084,Документирование,PP - Производственное планирование,1
8088,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8333,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8333,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8327,Разработка,FI-AA - Основные средства,1
8319,Документирование,PP - Производственное планирование,1
8316,Документирование,PP - Производственное планирование,1
8312,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8298,Документирование,PP - Производственное планирование,1
8279,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8206,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8204,Документирование,PM - Тех. обслуживание и ремонт оборудования,1
8196,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8167,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8163,Документирование,FI - Финансы,1
8161,Документирование,FI - Финансы,1
8160,Разработка,FI - Финансы,1
8154,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8149,Разработка,PP - Производственное планирование,1
8146,Разработка,PM - Тех. обслуживание и ремонт оборудования,1
8141,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8128,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8121,Разработка,PP - Производственное планирование,1
8116,Документирование,FI - Финансы,1
8115,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8112,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8104,Разработка,FI-AA - Основные средства,1
8103,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8095,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8092,Разработка,ISU - Энергетика и коммунальное хозяйство,1
8089,Разработка,ISU - Энергетика и коммунальное хозяйство,1
9830,Разработка,FI - Финансы,1
