Issue ID,Subject,Project,Subtasks,Subtasks ID,Stage
8330,RTSK0258213 - доработка ZUPLCROP,РусАгро - Тех.поддержка,,,
8329,"CHG0035924 - документирование транзакции ZUPLCROP ""Ведение Севооборота в SAP""",РусАгро - Тех.поддержка,,,
8328,"Задача: 2000091451, контроль графика отпусков",SAP22001_MOEK_42 МОЭК ТП HR,,,
8327,Срочная задача! RITM0787521 (крайний срок загрузки 28.02.2022 к 9-00).,РусАгро - Тех.поддержка,,,
8326,"Задача: 2000091534, Не выгружает НДФЛ",SAP22001_MOEK_42 МОЭК ТП HR,,,
8325,Задача: 2000091648,SAP22001_MOEK_42 МОЭК ТП HR,,,
8324,Не работает LSMW для загрузки временных данных в карточки ОС.,РусАгро - Тех.поддержка,,,
8323,CHG0035924 - документирование транзакции ZFI_COMMREPORT,РусАгро - Тех.поддержка,,,
8322,CHG0035924 - транзакция ZPM_MASS_SPIS - массовое списание ГСМ. Анализ алгоритмов выборки,РусАгро - Тех.поддержка,,,
8321,"CHG0035924 - документирование транзакции ZTPM15M ""Реклассификация кредитов""",РусАгро - Тех.поддержка,,,
8320, вывод опознания платежа в ZISU_SELL_BOOK_ADD13 - Дополнительный лист книги продаж 2013,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8319,RTSK0257815 - ошибка при создании заказа ,РусАгро - Тех.поддержка,,,
8318,"Задача: 2000091612, доп поле в ИНН",SAP22001_MOEK_42 МОЭК ТП HR,,,
8317,Вывод номера АСФ по Кредиту в Окне расчетов ККС 1074242 12.20,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8316,SN: RTSK0257648. Доработка расчета переходящего времени в выходные для для БЕ 2500 (Приморье).,РусАгро - Тех.поддержка,,,
8315,"Замечания по БДО, Справочникам и Журналам",SAP22006_KONS_04 - Переход на платформу 10.5,,,
8314,Устранить ошибку в балансировке трудовых ресурсов в 10.4 и выложить обновления в ГИТ,SAP22006_KONS_04 - Переход на платформу 10.5,,,
8313,Устранить ошибки 37 и 38 из листа замечаний в 10.4 и выложить обновление в ГИТ,SAP22006_KONS_04 - Переход на платформу 10.5,,,
8312,СМ 	7000353098 (2000091574) Z_SPRAV_REC_OLD - Справка о коррект. прошлых нал. пер. за 01.2022,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8311,"Задача: 2000089816, НДФЛ излишне удержанный минус матпомощь",SAP22001_MOEK_42 МОЭК ТП HR,,,
8310,Настройка ролевого центра,SAP22006_KONS_04 - Переход на платформу 10.5,,,
8309,СМ 7000352928 (2000091567) ДАМП при разнесении БВ за 16.02.2022 р/с C5111.8901 ,SAP21006_MOEK_39 ТП МОЭК SAP IS-U 2021-2024 гг.,,,
8308,Исправление акта сверки.,SAP21026_PRPM_01_Протон-М,,,
8307,2000091529  ZHR_POSTING - Выгрузка данных по ЗП  	 ВО 2012 НДФЛ и тех карта,SAP22001_MOEK_42 МОЭК ТП HR,,,
8306,"Задача: 2000091551, не заполняет 9002 по прямым выплатам",SAP22001_MOEK_42 МОЭК ТП HR,,,
8305,"Добавить поля в блок ""Штатная численность""",СудДеп,"В отчете ""Численность сотрудников"" в карточке СО отсутствует параметр ""Численность уборщиков/дворников""",8408,
8304,CHG0035924 - документирование транзакции ZHR_REP_PREM,РусАгро - Тех.поддержка,,,
8303,Доработки карточки Договора,SAP22006_KONS_04 - Переход на платформу 10.5,,,
