#;Проект;Тема;Подзадачи;Связанные задачи
10552;Белгородская индейка;"Ошибка при вызове сервиса ""Создать списание ТМЦ""";"";""
10551;Белгородская индейка;"Ошибка при вызове сервиса ""Создать перемещение контейнера""";"";""
10550;Белгородская индейка;Ошибка при добавлении контейнера;"";""
10549;Белгородская индейка;"В ""Приеме из производства"" не подтягивается себестоимость";"";""
10548; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Исправить ошибку в Правоустанавливающих документах;"";""
10547;РусАгро - ЗНИ;SH-332 Визуализация ОППР (бэк);"";""
10546; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ошибки в отчетах на 26 сервере, 81 порт;"";""
10545;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;Статусы PR;"";""
10544;NIS Сербия SAP23006_NPS_01  ;CR711545: Расширение полей для клиента в XML - разработка;"";""
10541;Пилотный проект Аэрофлот (ТТ+ТБ);Устранение ошибок компилляции проекта TrackingSciener в связи с установкой новой версии базовых проектов;"";""
10539;NIS Сербия SAP23006_NPS_01  ;CR 698189 Разработка отчета транзакция ZCO_INTERCOMP Усаглашавање интеркомпанијских односа;"";""
10538;NIS Сербия SAP23006_NPS_01  ;Оценка ЗНИ 654485;"";""
10537; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;"Ошибка ввода значений в табличную часть ""Характеристики""";"";""
10536;SAP23012_NOKT_01 Сопровождение ТУРБО ТОРО для Нокиан Тайерс;Дозагрузка заказов;"";""
10535; =ФК Модернизация 2023= Федеральное казначейство Модернизация ЦИК . SAP23009_FK_02;Ошибка в отчете Наработка оборудования;"";""
10534;NIS Сербия SAP23006_NPS_01  ;CR720788 - Добавление почтового индекса в XML файл (для SEF);"";""
